code,LA,workType,workCat,Manager%,Professional%,TechOp%,Admin%,SkilledTrade%,Caring%,Sales%,MachineOp%,Elementary%
E09000029,Sutton,1,Commutes via Public Transport,0.112815946,0.134986226,0.137271449,0.140391459,0.180837747,0.232210153,0.268117007,0.140230312,0.330366631
E09000029,Sutton,4,WFH,0.514555791,0.519702958,0.53488045,0.523042705,0.069330766,0.115938816,0.174334852,0.103454681,0.066551541
E09000030,Tower Hamlets,1,Commutes via Public Transport,0.146936203,0.136148511,0.165965707,0.26815093,0.456191744,0.465394567,0.487916706,0.192805755,0.554926207
E09000030,Tower Hamlets,4,WFH,0.651929416,0.710118319,0.661058988,0.516720315,0.122503329,0.130659767,0.209857675,0.071510791,0.076745114
E09000031,Waltham Forest,1,Commutes via Public Transport,0.170043498,0.178157527,0.186051998,0.24758787,0.461993303,0.456853761,0.414710317,0.284498262,0.621006592
E09000031,Waltham Forest,4,WFH,0.559981685,0.573931956,0.601141886,0.517660234,0.074659828,0.131443299,0.183502046,0.085481357,0.058253043
E09000032,Wandsworth,1,Commutes via Public Transport,0.124909284,0.152674964,0.147927884,0.213248024,0.351403061,0.40731377,0.391531756,0.197566628,0.542049541
E09000032,Wandsworth,4,WFH,0.708312399,0.661596897,0.700715262,0.596161084,0.144132653,0.175259594,0.30996264,0.141367323,0.095984818
E09000033,Westminster,1,Commutes via Public Transport,0.115539417,0.143756423,0.150727769,0.22332543,0.34137931,0.370412288,0.387982338,0.200359712,0.449277884
E09000033,Westminster,4,WFH,0.66213142,0.682168551,0.668751421,0.520450504,0.18045977,0.275505255,0.290650797,0.147122302,0.149469288
